predio_id,nombre,ciudad,uso_suelo,superficie_m2,frente_m,dist_centro_km,dist_vialidad_m,densidad_comercios_1km,nivel_socioeconomico,esquina,cus,fecha_adquisicion,anio,anios_desde_inicio,_desvio_inyectado,_fuera_de_precio,precio_m2_pagado,precio_total_pagado,empresa
PR-0001,Predio 1,Merida,Industrial,1715.7,39.0,6.24,485.0,122.0,3,0,1.13,2018-02-24,2018,0,0.3709,1,4591.43,7877516.45,APE
PR-0002,Predio 2,Queretaro,Comercial,2330.6,37.0,6.75,656.0,73.0,1,0,1.47,2018-03-08,2018,0,0.0,0,6019.01,14027904.71,IBS
PR-0003,Predio 3,Merida,Comercial,1970.0,53.3,3.52,241.0,150.0,4,0,1.61,2018-03-11,2018,0,0.0,0,12966.94,25544871.8,BSM
PR-0004,Predio 4,Culiacan,Industrial,3810.7,53.9,8.47,451.0,120.0,4,0,0.55,2018-03-18,2018,0,0.0,0,1518.39,5786128.77,EDP
PR-0005,Predio 5,Leon,Mixto,2838.5,30.7,1.04,266.0,471.0,3,0,3.21,2018-06-16,2018,0,0.0,0,11952.73,33927824.1,EDC
PR-0006,Predio 6,Queretaro,Oficinas,5536.8,46.0,3.64,734.0,261.0,4,0,2.66,2018-07-06,2018,0,0.0,0,13737.56,76062122.21,ILP
PR-0007,Predio 7,Puebla,Comercial,1085.2,25.8,6.87,772.0,195.0,3,0,1.13,2018-10-01,2018,0,0.0,0,5730.87,6219140.12,EDC
PR-0008,Predio 8,Merida,Comercial,1179.0,29.0,8.78,344.0,112.0,2,0,2.18,2018-10-18,2018,0,0.0,0,12293.55,14494095.45,EDP
PR-0009,Predio 9,Culiacan,Comercial,4838.1,55.9,2.83,177.0,226.0,3,0,2.01,2018-10-20,2018,0,0.0,0,10556.33,51072580.17,IBS
PR-0010,Predio 10,Puebla,Mixto,250.0,15.6,3.88,248.0,201.0,3,0,2.73,2019-01-20,2019,1,0.0,0,6814.2,1703550.0,AAI
PR-0011,Predio 11,Leon,Mixto,5442.6,75.7,3.0,276.0,203.0,4,0,2.21,2019-02-16,2019,1,0.0,0,6255.55,34046456.43,IBS
PR-0012,Predio 12,Puebla,Comercial,11168.4,124.8,1.84,54.0,172.0,2,0,2.05,2019-03-06,2019,1,0.0,0,13197.84,147398756.26,AYP
PR-0013,Predio 13,Queretaro,Habitacional,1038.6,27.5,7.63,894.0,67.0,5,0,0.98,2019-03-13,2019,1,0.0,0,4400.26,4570110.04,OCI
PR-0014,Predio 14,Queretaro,Comercial,1574.3,51.0,9.46,15.0,144.0,3,0,1.36,2019-06-19,2019,1,0.333,1,13374.56,21055569.81,PPO
PR-0015,Predio 15,Queretaro,Habitacional,5026.2,71.2,6.69,675.0,152.0,2,0,1.44,2019-06-21,2019,1,0.0,0,3306.2,16617622.44,EDC
PR-0016,Predio 16,Aguascalientes,Comercial,1175.3,47.6,6.28,195.0,185.0,3,0,2.44,2019-11-13,2019,1,0.0,0,10128.41,11903920.27,BSM
PR-0017,Predio 17,Queretaro,Industrial,3318.0,36.1,5.25,390.0,62.0,2,0,0.98,2019-12-06,2019,1,0.0,0,2149.48,7131974.64,PPO
PR-0018,Predio 18,Queretaro,Comercial,2675.1,38.6,5.88,218.0,187.0,3,0,1.62,2019-12-21,2019,1,0.0,0,13855.57,37065035.31,DIA
