predio_id,nombre,ciudad,uso_suelo,superficie_m2,frente_m,dist_centro_km,dist_vialidad_m,densidad_comercios_1km,nivel_socioeconomico,esquina,cus,fecha_adquisicion,anio,anios_desde_inicio,_desvio_inyectado,_fuera_de_precio,precio_m2_pagado,precio_total_pagado,empresa,pagado_m2_real,pagado_total_real,justo_m2,justo_m2_lo,justo_m2_hi,brecha_pct,fuera_de_rango,veredicto,valor_hoy_m2,valor_hoy_total,plusvalia_real_pct
PR-0045,Predio 45,Merida,Mixto,7088.8,97.1,14.9,655.0,65.0,3,0,1.24,2023-10-15,2023,5,0.3667,1,18438.04,130703577.95,OCI,19975.729822393827,141603953.56498536,6431.619287200364,4065.5946873023954,10174.58203216384,2.105863225167532,True,revisar: por encima del rango,6719.523560816767,47633358.617917895,-0.6636156165226147
PR-0060,Predio 60,Puebla,Comercial,1584.6,39.8,8.48,1086.0,64.0,3,0,1.65,2025-07-17,2025,7,0.4243,1,14933.78,23664067.79,AAI,14933.78,23664067.788,9402.15625271661,6571.172855731936,13452.779913312976,0.5883356539288647,True,revisar: por encima del rango,9402.15625271661,14898656.79805474,-0.37041015384473264
PR-0042,Predio 42,Queretaro,Industrial,878.0,34.0,9.58,1064.0,116.0,2,0,1.06,2023-05-06,2023,5,0.3603,1,4341.98,3812258.44,OCI,4704.091073359074,4130191.9624092667,3055.9840430458416,2137.1244517787786,4369.908576722197,0.5393048547042132,True,revisar: por encima del rango,3192.7817648648906,2803262.389551374,-0.32127552058956943
PR-0001,Predio 1,Merida,Industrial,1715.7,39.0,6.24,485.0,122.0,3,0,1.13,2018-02-24,2018,0,0.3709,1,4591.43,7877516.45,APE,6441.776290000001,11052155.580753002,4395.674972577204,2945.0383107210646,6560.85131191751,0.46548057583592395,False,dentro de mercado,5123.763842330689,8790841.624286763,-0.20460388382554517
PR-0040,Predio 40,Leon,Comercial,1642.6,54.3,9.92,737.0,74.0,2,0,2.27,2022-10-17,2022,4,0.0,0,12399.39,20367238.01,APE,14040.632905569008,23063143.61068765,9631.7700698673,6711.7021996891235,13822.275172323429,0.4577417031055071,True,revisar: por encima del rango,10285.6877206735,16895270.64997829,-0.26743418264330265
PR-0034,Predio 34,Culiacan,Comercial,374.2,27.1,3.26,891.0,261.0,4,0,2.99,2021-06-03,2021,3,0.3563,1,24766.85,9267755.27,PPO,30241.854264577894,11316501.865805048,21448.687823915123,15150.904920342266,30364.27274717345,0.40996290835369686,False,dentro de mercado,23411.92006283296,8760740.487512093,-0.2258437641419625
PR-0012,Predio 12,Puebla,Comercial,11168.4,124.8,1.84,54.0,172.0,2,0,2.05,2019-03-06,2019,1,0.0,0,13197.84,147398756.26,AYP,17873.136602316605,199614338.82931277,12883.8000301709,9366.791251446071,17721.362498796516,0.38725659824444847,True,revisar: por encima del rango,14692.592444780987,164092749.46029195,-0.17795109097545736
PR-0014,Predio 14,Queretaro,Comercial,1574.3,51.0,9.46,15.0,144.0,3,0,1.36,2019-06-19,2019,1,0.333,1,13374.56,21055569.81,PPO,18112.459150579154,28514444.44075676,13693.324280103463,9946.409186734758,18851.740997157438,0.3227218446069182,False,dentro de mercado,15615.768049072665,24583903.639655095,-0.13784384995709742
PR-0018,Predio 18,Queretaro,Comercial,2675.1,38.6,5.88,218.0,187.0,3,0,1.62,2019-12-21,2019,1,0.0,0,13855.57,37065035.31,DIA,18763.86555019305,50195216.73332143,14618.01131369466,10691.648480376783,19986.277622155285,0.2836127396217303,False,dentro de mercado,16670.274459581487,44594651.20682643,-0.11157568172779964
PR-0054,Predio 54,Aguascalientes,Comercial,8060.1,78.6,13.44,435.0,66.0,3,0,0.99,2025-01-10,2025,7,0.0,0,8697.1,70099495.71,OCI,8697.1,70099495.71000001,6803.7637025773765,4298.726709711712,10768.58419864841,0.27827778567697714,False,dentro de mercado,6803.7637025773765,54839015.81914391,-0.21769742758190935
PR-0063,Predio 63,Puebla,Comercial,4940.7,94.5,1.85,1369.0,422.0,3,0,2.38,2025-12-14,2025,7,0.0,0,23064.51,113954824.56,EDP,23064.51,113954824.55699998,18328.85787494789,12267.495877327221,27385.135023435098,0.25837137029279145,False,dentro de mercado,18328.85787494789,90557388.10275504,-0.20532203480811462
PR-0033,Predio 33,Queretaro,Oficinas,1893.8,51.0,3.77,148.0,320.0,5,0,4.91,2021-03-25,2021,3,0.0,0,33030.69,62553520.72,AYP,40332.51355091385,76381714.16272065,32369.61309962062,24025.984658837533,43610.77671102728,0.24599924709593024,False,dentro de mercado,35332.45486039331,66912603.014612846,-0.12397091701732665
PR-0006,Predio 6,Queretaro,Oficinas,5536.8,46.0,3.64,734.0,261.0,4,0,2.66,2018-07-06,2018,0,0.0,0,13737.56,76062122.21,ILP,19273.79668,106715157.457824,15710.952544310932,10970.43985061449,22499.920988652444,0.22677454633259675,False,dentro de mercado,18313.276363087563,101396948.56714323,-0.049835553049552894
PR-0020,Predio 20,Puebla,Industrial,3097.6,73.8,1.71,375.0,280.0,3,0,0.99,2020-01-26,2020,2,0.0,0,3621.21,11217060.1,AAI,4739.32614738806,14680536.674149254,3951.3840383600073,2714.7937671401264,5751.241957157606,0.19940914408184995,False,dentro de mercado,4408.538334425429,13655888.344716208,-0.0697963808937132
PR-0032,Predio 32,Leon,Mixto,1398.9,42.6,10.18,111.0,49.0,2,0,2.25,2021-03-06,2021,3,0.0,0,5426.95,7591760.36,AYP,6626.641296779809,9270008.510065274,5679.307937758005,4100.882856795847,7865.26701157287,0.16680436584950842,False,dentro de mercado,6199.143954286558,8671982.477651468,-0.06451191838329795
PR-0027,Predio 27,Leon,Comercial,2418.9,31.2,12.67,719.0,99.0,2,0,1.52,2020-07-19,2020,2,0.0,0,6654.9,16097537.61,DIA,8709.72453358209,21067952.674281716,7473.376917107119,5071.329741285375,11013.159347629693,0.1654335958413764,False,dentro de mercado,8338.007216416048,20168805.65578878,-0.04267842406873035
PR-0050,Predio 50,Queretaro,Industrial,3247.1,59.7,11.26,421.0,44.0,2,0,0.76,2024-07-14,2024,6,0.0,0,2605.67,8460871.06,ILP,2703.9608062130187,8780031.133854292,2340.5550525318336,1521.5216597525311,3600.473196565137,0.1552647750319227,False,dentro de mercado,2392.3677358468235,7768257.275068221,-0.11523579396943662
PR-0009,Predio 9,Culiacan,Comercial,4838.1,55.9,2.83,177.0,226.0,3,0,2.01,2018-10-20,2018,0,0.0,0,10556.33,51072580.17,IBS,14810.53099,71654829.982719,12953.648883995564,8646.625887712813,19406.069094337192,0.14334818881023104,False,dentro de mercado,15099.259656850803,73051728.14580987,0.01949482209960962
PR-0028,Predio 28,Leon,Comercial,1398.7,36.4,3.21,367.0,129.0,4,0,1.93,2020-10-27,2020,2,0.0,0,14459.43,20224404.74,AYP,18924.048777985077,26469067.02576773,16753.380514950877,12123.883100341742,23150.64871178312,0.12956598586757306,False,dentro de mercado,18691.658293490324,26144022.455104917,-0.012280167273987397
PR-0038,Predio 38,Puebla,Comercial,1096.3,37.5,7.57,427.0,171.0,3,0,1.44,2022-09-20,2022,4,0.0,0,10771.27,11808543.3,EDP,12197.007110573044,13371578.895321228,11005.703584303927,8035.7169738812845,15073.391929961936,0.10824419512516448,False,dentro de mercado,11752.899975114029,12884704.24271751,-0.03641115655938565
