operacion_id,ciudad,uso_suelo,superficie_m2,frente_m,dist_centro_km,dist_vialidad_m,densidad_comercios_1km,nivel_socioeconomico,esquina,cus,fecha,anio,anios_desde_inicio,precio_m2_nominal,precio_total_nominal,y,pred_base,pred_lineal,pred_boosting,lo,hi,entrenado_hasta,n_entrenamiento
OP-00992,Puebla,Comercial,1420.0,42.9,2.93,387.0,232.0,3,0,2.83,2021-01-01,2021,3,7244.01,10286494.2,9.087651001708846,9.4212876095489,9.846225107714938,9.964909825575843,9.529630273138702,10.233276081386554,2020,991
OP-00993,Culiacan,Comercial,6934.0,110.9,14.96,211.0,35.0,2,0,0.98,2021-01-02,2021,3,4624.75,32068016.5,8.638898396685203,9.458493523858282,8.67191289145515,8.476965541630006,8.194310693336115,9.23317259040648,2020,991
OP-00994,Merida,Industrial,2112.8,58.8,3.72,399.0,186.0,4,0,1.54,2021-01-02,2021,3,4630.93,9784228.9,8.640233793094412,8.5037005923122,8.80052376498975,8.756276849340361,8.496061284616658,9.103188109299015,2020,991
OP-00995,Puebla,Comercial,1414.8,29.0,2.5,275.0,374.0,4,0,2.63,2021-01-04,2021,3,21419.1,30303742.68,10.171759128565991,9.4212876095489,10.060463400287675,10.118238937279951,9.59845435255479,10.57050572938643,2020,991
OP-00996,Leon,Comercial,6422.8,63.4,15.68,741.0,35.0,3,0,1.23,2021-01-04,2021,3,5347.23,34344188.84,8.784054751051968,9.572286919537161,8.785589648411829,8.650857018002087,8.25130187197671,9.393479591091944,2020,991
OP-00997,Aguascalientes,Industrial,45667.6,166.2,8.49,1344.0,101.0,3,0,0.92,2021-01-05,2021,3,1134.47,51808522.17,7.233641662756848,7.938614855419242,7.398097413107693,7.755315149234733,6.8473730327808475,7.977904319307344,2020,991
OP-00998,Queretaro,Comercial,2021.3,37.2,3.77,337.0,109.0,2,0,1.11,2021-01-06,2021,3,10330.94,20881929.02,9.442619357323242,9.667796135892095,9.551150115575044,9.156772988677039,9.164799596514461,9.994156672667943,2020,991
OP-00999,Culiacan,Oficinas,925.7,29.4,9.19,840.0,104.0,3,0,2.09,2021-01-08,2021,3,5614.88,5197694.42,8.832896297871075,9.224574797344356,9.094424444921957,8.987693062952646,8.847275207926288,9.410524716227108,2020,991
OP-01000,Puebla,Industrial,1025.1,21.5,14.12,352.0,36.0,4,0,0.87,2021-01-10,2021,3,2691.43,2758984.89,8.097548732114168,7.834535274016334,7.728406720667145,8.18045744999799,7.322873614580528,8.167464338756801,2020,991
OP-01001,Aguascalientes,Habitacional,4370.3,64.3,2.91,245.0,347.0,4,0,1.39,2021-01-11,2021,3,4797.91,20968306.07,8.675656487661659,8.47003101637175,8.869770350481556,8.69210876096763,8.59325873511799,9.200638073910374,2020,991
