columna,variable,importancia,desv,entrenamiento,lugar,peso_relativo
uso_Comercial,uso: Comercial,0.18865663984701408,0.0037491494883498764,deflactado,1,1.0
cus,coeficiente de uso de suelo,0.12824914554792283,0.0040768829589163,deflactado,2,0.679801917663343
log_dist_centro,distancia al centro urbano,0.11636117016410241,0.006267788312586032,deflactado,3,0.6167880985183575
uso_Industrial,uso: Industrial,0.08361846215467268,0.006166557101398467,deflactado,4,0.4432309523930924
ciudad_Merida,ciudad: Merida,0.0712785715732031,0.004350724482345243,deflactado,5,0.37782169570604296
log_densidad,comercios en 1 km,0.052484653758468745,0.00599292184522178,deflactado,6,0.2782019959701908
log_superficie,superficie del predio,0.03807199859748216,0.002745081079467431,deflactado,7,0.20180577067605782
uso_Oficinas,uso: Oficinas,0.0353298929051424,0.0020230865979404327,deflactado,8,0.1872708690973835
ciudad_Queretaro,ciudad: Queretaro,0.03251744614091617,0.002110085020471696,deflactado,9,0.172363115166714
nivel_socioeconomico,nivel socioeconómico de la zona,0.02952429393301389,0.0014378373569188534,deflactado,10,0.15649750762525932
uso_Habitacional,uso: Habitacional,0.018707012682280137,0.0028755242993676773,deflactado,11,0.09915904734362954
anios_desde_inicio,año de la operación,0.009292259334754971,0.001709053717455571,deflactado,12,0.0492548756422794
esquina,es esquina,0.007162711872094097,0.0015276484639293237,deflactado,13,0.03796692169383755
log_dist_vialidad,distancia a vialidad primaria,0.005699594229413511,0.0019016485734968792,deflactado,14,0.03021146901606771
ciudad_Culiacan,ciudad: Culiacan,0.005176792267584759,0.0007421688150589212,deflactado,15,0.027440286606306232
uso_Mixto,uso: Mixto,0.003759890054439597,0.001053123470350055,deflactado,16,0.01992980505477346
ciudad_Puebla,ciudad: Puebla,0.003662343436284937,0.0006494510222499913,deflactado,17,0.019412746030326916
log_forma,forma del lote (frente vs fondo),0.0012341871590420515,0.0008879532264084742,deflactado,18,0.006541975729255444
ciudad_Leon,ciudad: Leon,0.0009683397295173375,0.0002740327823261352,deflactado,19,0.005132815522965881
ciudad_Aguascalientes,ciudad: Aguascalientes,0.000518738883468265,0.00023459046055236552,deflactado,20,0.002749645514141045
uso_Comercial,uso: Comercial,0.1805711277597412,0.003570472130277819,nominal,1,1.0
cus,coeficiente de uso de suelo,0.11979000091695509,0.003214236964264982,nominal,2,0.6633950975614529
log_dist_centro,distancia al centro urbano,0.11885836203312172,0.006155215178631891,nominal,3,0.6582356964135962
uso_Industrial,uso: Industrial,0.08776338478442686,0.006231253355037293,nominal,4,0.48603221275330555
anios_desde_inicio,año de la operación,0.07841617742785865,0.004788953475435925,nominal,5,0.43426752881665137
ciudad_Merida,ciudad: Merida,0.07045191015002962,0.004179533569171427,nominal,6,0.390161544783446
log_densidad,comercios en 1 km,0.05306022328857519,0.006023943993759187,nominal,7,0.2938466627908224
log_superficie,superficie del predio,0.03716819451605908,0.001888518381858508,nominal,8,0.20583686316404468
uso_Oficinas,uso: Oficinas,0.03332911766676094,0.0015138646956275408,nominal,9,0.18457611734643967
nivel_socioeconomico,nivel socioeconómico de la zona,0.030738980069961803,0.002476322951569474,nominal,10,0.17023197701274553
ciudad_Queretaro,ciudad: Queretaro,0.02924382062689578,0.0018153111392440284,nominal,11,0.16195180807535367
uso_Habitacional,uso: Habitacional,0.026627599811481516,0.0034307330838631114,nominal,12,0.14746321929666878
esquina,es esquina,0.0069913006595375415,0.0013706849612770482,nominal,13,0.0387177105569159
log_dist_vialidad,distancia a vialidad primaria,0.005806253870651614,0.001656890336420331,nominal,14,0.03215494050841351
ciudad_Puebla,ciudad: Puebla,0.0048230677364017,0.0007232579058988024,nominal,15,0.026710071517186455
ciudad_Culiacan,ciudad: Culiacan,0.003704157968765543,0.0008557014728736787,nominal,16,0.020513567228167884
uso_Mixto,uso: Mixto,0.002024447215945361,0.0007544572498688925,nominal,17,0.011211356106935256
log_forma,forma del lote (frente vs fondo),0.0015205145647354465,0.0007262727097054652,nominal,18,0.008420585193212982
ciudad_Leon,ciudad: Leon,0.0006784227265785696,0.00026229346916113364,nominal,19,0.003757094143429422
ciudad_Aguascalientes,ciudad: Aguascalientes,0.0004171584555608919,0.0003216065531918751,nominal,20,0.0023102168144839954
